,geometry,address
0,POINT (-100.445882 39.7837304),"United States of America, United States"
1,POINT (10.4478313 51.1638175),"Deutschland, Deutschland"
2,POINT (-3.2765753 54.7023545),"United Kingdom, United Kingdom"
3,POINT (-107.991707 61.0666922),"Canada, Canada"
4,POINT (5.6343227 52.2434979),"Nederland, Nederland"
5,POINT (12.674297 42.6384261),"Italia, Italia"
6,POINT (1.8883335 46.603354),"France, France"
7,POINT (97.7453061 64.6863136),"Россия, Россия"
8,POINT (-4.8379791 39.3260685),"España, España"
9,POINT (78.6677428 22.3511148),"India, India"
10,POINT (134.755 -24.7761086),"Australia, Australia"
11,POINT (4.6667145 50.6402809),"België - Belgique - Belgien, België / Belgique / Belgien"
12,POINT (104.999927 35.000074),"中国, 中国"
13,POINT (-85.0373975 38.8249258),"Switzerland, Indiana, United States"
14,POINT (14.5208584 59.6749712),"Sverige, Sverige"
15,POINT (-8.1353519 39.6621648),"Portugal, Portugal"
16,POINT (-71.3187697 -31.7613365),"Chile, Chile"
17,POINT (19.134422 52.215933),"Polska, Polska"
18,POINT (21.9877132 38.9953683),"Ελλάδα, Ελλάς"
19,POINT (31.2718321 49.4871968),"Україна, Україна"
20,POINT (-53.2 -10.3333333),"Brasil, Brasil"
21,POINT (139.2394179 36.5748441),"日本, 日本"
22,POINT (24.991639 -28.8166236),"South Africa, South Africa"
23,POINT (25.4856617 42.6073975),"Бългaрия, Бългaрия"
24,POINT (34.9249653 38.9597594),"Türkiye, Türkiye"
25,POINT (25.9209164 63.2467777),"Suomi / Finland, Suomi"
26,POINT (54.5643516 32.6475314),"ایران, ایران"
27,POINT (10.3333283 55.670249),"Danmark, Danmark"
28,POINT (-102.0077097 23.6585116),"México, México"
29,POINT (127.6961188 36.638392),"대한민국, 대한민국"
30,POINT (14.12456 47.59397),"Österreich, Österreich"
31,POINT (29.2675469 26.2540493),"مصر, مصر"
32,POINT (24.6859225 45.9852129),"România, România"
33,POINT (120.9820179 23.9739374),"臺灣, 臺灣"
34,POINT (-72.9088133 4.099917),"Colombia, Colombia"
35,POINT (25.3319078 58.7523778),"Eesti, Eesti"
36,POINT (102.06908954680432 9.8762687),Gulf of Thailand
39,POINT (-83.1137366 32.3293809),"Georgia, United States"
40,POINT (71.247499 30.3308401),"پاکستان, پاکستان"
41,POINT (6.129799 49.6112768),"Luxembourg, Lëtzebuerg"
42,POINT (8.7876653 61.1529386),"Norge, Norge"
43,POINT (-75.0458515 -6.8699697),"Perú, Perú"
44,POINT (-90.345759 15.5855545),"Guatemala, Guatemala"
45,POINT (53.9994829 24.0002488),"الإمارات العربية المتحدة, الإمارات العربية المتحدة"
46,POINT (57.0036901 21.0000287),"عمان, عمان"
